timestamp,scale_factor,query,execution_time_ms,gpu_name,memory_gb
20260301_115906,SF-10,Q1,402,Apple M1,16
20260301_115906,SF-10,Q3,406,Apple M1,16
20260301_115906,SF-10,Q6,18,Apple M1,16
20260301_115906,SF-10,Q9,1603,Apple M1,16
20260301_115906,SF-10,Q13,1989,Apple M1,16
20260301_120746,SF-10,Q1,519,Apple M1,16
20260301_120746,SF-10,Q3,505,Apple M1,16
20260301_120746,SF-10,Q6,26,Apple M1,16
20260301_120746,SF-10,Q9,1762,Apple M1,16
20260301_120746,SF-10,Q13,2049,Apple M1,16
